organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,nursing degree received,gpa,employment status,previous health care work experience,leave,type of leave,termination,termination date,tenure,termination reason,id,education_clean,gpa_numeric
Emory University Hospital,2023-08-07,0464297,14149,2023-07-31,Oncology Inpatient Unit,26.0,Female,Masters,3.5 And Above,Full-Time,,No,,No,,,,21028,Brenau University,3.75
Emory University Hospital,2023-08-07,0464583,14150,2023-07-24,Transplant Unit,23.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21029,Brenau University,3.25
Emory University Hospital Midtown,2023-04-07,2180052,14151,2023-04-12,Medical/Surgical Inpatient Unit,25.0,Female,Accelerated Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21030,Brenau University,3.25
Emory Hillandale Hospital,2023-03-28,0461779,14152,2023-03-20,Medical/Surgical Icu Inpatient Unit,28.0,Female,Accelerated Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2024-03-29,1.02739726,Other/Unknown,21031,Brenau University,3.25
Emory Decatur Hospital,2023-03-28,0462065,14153,2023-03-20,Mother/Baby Unit,28.0,Female,Accelerated Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21032,Brenau University,3.25
Emory Saint Joseph’S Hospital,2023-02-24,0461474,14154,2023-02-27,Emergency Department,25.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,21033,Brenau University,3.75
Emory University Hospital,2022-10-14,2477823,14155,2022-10-31,Medical Icu Inpatient Unit,39.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,21034,Brenau University,3.75
Emory Decatur Hospital,2022-10-11,0459129,14156,2022-10-10,Obstetrics/Labor & Delivery Inpatient Unit,35.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,No,,,,21035,Brenau University,3.25
Emory University Hospital,2022-08-17,0455796,14157,2022-07-11,Emergency Department,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,21036,Brenau University,3.75
Emory University Hospital,2024-08-05,2565727,14158,2024-07-29,General Medical Inpatient Unit,37.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2024-09-01,0.09315068493,Other/Unknown,21037,Brenau University,3.75
Emory University Hospital,2022-04-27,0453688,14159,2022-03-21,Neurology/Neurosurgical Icu Inpatient Unit,22.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21038,Brenau University,3.75
Emory University Hospital Midtown,2022-04-01,0450459,14160,2022-03-28,Medical/Surgical Inpatient Unit,28.0,Male,Bsn,3.5 And Above,,,No,,No,,,,21039,Brenau University,3.75
Emory Saint Joseph’S Hospital,2022-02-21,0394430,14161,2022-03-07,Medical/Surgical Icu Inpatient Unit,38.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21040,Brenau University,3.25
Emory University Hospital Midtown,2021-10-29,0449193,14162,2021-11-01,Cardiac/Heart/Vascular Critical Care,28.0,Male,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2024-11-28,3.076712329,Other/Unknown,21041,Brenau University,3.25
Emory University Hospital Midtown,2021-10-29,0450456,14163,2021-10-24,Cardiac/Heart/Vascular Critical Care,44.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,No,,,,21042,Brenau University,3.25
Emory Saint Joseph’S Hospital,2021-10-18,0151683,14164,2021-10-18,Cardiac/Heart/Vascular Critical Care,46.0,Female,Accelerated Bsn,3.5 And Above,,,No,,No,,,,21043,Brenau University,3.75
Emory University Hospital,2021-08-26,0448220,14165,2021-07-26,Perioperative Or,26.0,Male,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21044,Brenau University,3.25
